BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	COMP ID	PLATFORM	CHEMICAL ID
1-methylhistidine	Amino Acid	Histidine Metabolism	30460	LC/MS Neg	100001051
1-methylnicotinamide	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	27665	LC/MS Pos Early	55
1-methylurate	Xenobiotics	Xanthine Metabolism	34395	LC/MS Neg	100001400
1-methylxanthine	Xenobiotics	Xanthine Metabolism	34389	LC/MS Neg	100001405
1-oleoyl-GPG (18:1)*	Lipid	Lysophospholipid	45968	LC/MS Neg	100005716
1-oleoyl-GPS (18:1)	Lipid	Lysophospholipid	19260	LC/MS Neg	100000630
1-palmitoyl-GPA (16:0)	Lipid	Lysophospholipid	34428	LC/MS Neg	100001445
1-palmitoyl-GPG (16:0)*	Lipid	Lysophospholipid	45970	LC/MS Neg	100005717
1-ribosyl-imidazoleacetate*	Amino Acid	Histidine Metabolism	61868	LC/MS Pos Early	100001668
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)	Lipid	Phosphatidylserine (PS)	48502	LC/MS Polar	100001872
1-stearoyl-2-oleoyl-GPG (18:0/18:1)	Lipid	Phosphatidylglycerol (PG)	52623	LC/MS Polar	100001866
1-stearoyl-2-oleoyl-GPS (18:0/18:1)	Lipid	Phosphatidylserine (PS)	19265	LC/MS Pos Late	100000639
1-stearoyl-GPG (18:0)	Lipid	Lysophospholipid	34437	LC/MS Neg	100001462
1-stearoyl-GPS (18:0)*	Lipid	Lysophospholipid	45966	LC/MS Neg	100004327
10-heptadecenoate (17:1n7)	Lipid	Long Chain Monounsaturated Fatty Acid	33971	LC/MS Neg	100001278
10-hydroxywarfarin	Xenobiotics	Drug - Cardiovascular	62970	LC/MS Neg	100020811
10-nonadecenoate (19:1n9)	Lipid	Long Chain Monounsaturated Fatty Acid	33972	LC/MS Neg	100001277
10-undecenoate (11:1n1)	Lipid	Medium Chain Fatty Acid	32497	LC/MS Neg	100001197
11-ketoetiocholanolone glucuronide	Lipid	Androgenic Steroids	47135	LC/MS Neg	100005402
11beta-hydroxyandrosterone glucuronide	Lipid	Androgenic Steroids	63251	LC/MS Neg	100020541
"12,13-DiHOME"	Lipid	"Fatty Acid, Dihydroxy"	38395	LC/MS Neg	62
13-HODE + 9-HODE	Lipid	"Fatty Acid, Monohydroxy"	37752	LC/MS Neg	100002196
16-hydroxypalmitate	Lipid	"Fatty Acid, Monohydroxy"	39609	LC/MS Neg	100002953
16a-hydroxy DHEA 3-sulfate	Lipid	Androgenic Steroids	38168	LC/MS Neg	100002126
1H-indole-7-acetic acid	Xenobiotics	Bacterial/Fungal	57783	LC/MS Polar	100004601
2'-deoxyuridine	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	1412	LC/MS Polar	536
2'-O-methylcytidine	Nucleotide	"Pyrimidine Metabolism, Cytidine containing"	57554	LC/MS Pos Early	100010895
2'-O-methyluridine	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	57655	LC/MS Neg	100010896
"2,3-dihydroxy-2-methylbutyrate"	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	57547	LC/MS Neg	100010869
"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*"	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	62805	LC/MS Neg	100020893
"2,3-dihydroxyisovalerate"	Xenobiotics	Food Component/Plant	38276	LC/MS Polar	100002417
"2,6-dihydroxybenzoic acid"	Xenobiotics	Drug - Topical Agents	63042	LC/MS Neg	100020837
2-acetamidophenol sulfate	Xenobiotics	"Drug - Analgesics, Anesthetics"	48580	LC/MS Neg	100006190
2-aminoadipate	Amino Acid	Lysine Metabolism	6146	LC/MS Polar	381
2-aminobutyrate	Amino Acid	Glutathione Metabolism	42374	LC/MS Neg	1128
2-aminoheptanoate	Lipid	"Fatty Acid, Amino"	43761	LC/MS Pos Early	100004542
2-aminooctanoate	Lipid	"Fatty Acid, Amino"	43343	LC/MS Pos Late	100004227
2-aminophenol sulfate	Xenobiotics	Chemical	43266	LC/MS Neg	100004322
2-butenoylglycine	Lipid	Fatty Acid Metabolism (Acyl Glycine)	61785	LC/MS Neg	100016110
2-hydroxy-3-methylvalerate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	36746	LC/MS Neg	100001541
2-hydroxy-4-(methylthio)butanoic acid	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	63739	LC/MS Neg	100021372
2-hydroxyacetaminophen sulfate*	Xenobiotics	"Drug - Analgesics, Anesthetics"	33173	LC/MS Neg	100001791
2-hydroxyarachidate*	Lipid	"Fatty Acid, Monohydroxy"	61700	LC/MS Neg	100019892
2-hydroxybehenate	Lipid	"Fatty Acid, Monohydroxy"	57663	LC/MS Neg	100015637
2-hydroxybutyrate/2-hydroxyisobutyrate	Amino Acid	Glutathione Metabolism	52281	LC/MS Polar	100008928
2-hydroxydecanoate	Lipid	"Fatty Acid, Monohydroxy"	42489	LC/MS Neg	100004089
2-hydroxyglutarate	Lipid	"Fatty Acid, Dicarboxylate"	52294	LC/MS Pos Early	100002070
2-hydroxyhippurate (salicylurate)	Xenobiotics	Benzoate Metabolism	18281	LC/MS Neg	1869
2-hydroxyibuprofen	Xenobiotics	"Drug - Analgesics, Anesthetics"	43330	LC/MS Neg	100004169
2-hydroxynervonate*	Lipid	"Fatty Acid, Monohydroxy"	61698	LC/MS Neg	100015638
2-hydroxyoctanoate	Lipid	"Fatty Acid, Monohydroxy"	22036	LC/MS Neg	100000743
2-hydroxypalmitate	Lipid	"Fatty Acid, Monohydroxy"	35675	LC/MS Neg	100001579
2-hydroxyphenylacetate	Amino Acid	Phenylalanine Metabolism	1432	LC/MS Polar	235
2-hydroxyphytanate*	Lipid	"Fatty Acid, Branched"	61702	LC/MS Neg	100004414
2-hydroxysebacate	Lipid	"Fatty Acid, Dicarboxylate"	63357	LC/MS Neg	100020378
2-hydroxystearate	Lipid	"Fatty Acid, Monohydroxy"	17945	LC/MS Neg	1239
2-isopropylmalate	Xenobiotics	Food Component/Plant	15667	LC/MS Polar	100000409
2-keto-3-deoxy-gluconate	Xenobiotics	Food Component/Plant	48141	LC/MS Polar	100005946
2-ketocaprylate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	63120	LC/MS Neg	100020833
2-methoxyacetaminophen glucuronide*	Xenobiotics	"Drug - Analgesics, Anesthetics"	33161	LC/MS Neg	100001795
2-methoxyacetaminophen sulfate*	Xenobiotics	"Drug - Analgesics, Anesthetics"	47031	LC/MS Neg	100001793
2-methoxyresorcinol sulfate	Xenobiotics	Chemical	48445	LC/MS Neg	100006184
2-methylbutyrylcarnitine (C5)	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	45095	LC/MS Pos Early	100001509
2-methylbutyrylglycine (C5)	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	31928	LC/MS Pos Early	100001155
2-methylcitrate/homocitrate	Energy	TCA Cycle	52282	LC/MS Neg	100008929
2-methylmalonylcarnitine (C4-DC)	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	35482	LC/MS Pos Early	100001596
2-methylserine	Amino Acid	"Glycine, Serine and Threonine Metabolism"	53229	LC/MS Pos Early	100009246
2-naphthol sulfate	Xenobiotics	Chemical	62520	LC/MS Neg	100020515
2-oxindole-3-acetate	Xenobiotics	Food Component/Plant	40479	LC/MS Pos Early	100003109
2-oxoarginine*	Amino Acid	Urea cycle; Arginine and Proline Metabolism	55072	LC/MS Pos Early	100002784
2-piperidinone	Xenobiotics	Food Component/Plant	43400	LC/MS Pos Early	100004295
21-hydroxypregnenolone disulfate	Lipid	Pregnenolone Steroids	46115	LC/MS Neg	100001999
"2R,3R-dihydroxybutyrate"	Lipid	"Fatty Acid, Dihydroxy"	63109	LC/MS Polar	100002367
"2S,3R-dihydroxybutyrate"	Lipid	"Fatty Acid, Dihydroxy"	62950	LC/MS Polar	100002284
"3,4-dihydroxybutyrate"	Lipid	"Fatty Acid, Dihydroxy"	62952	LC/MS Polar	100001730
"3,4-methyleneheptanoate"	Xenobiotics	Food Component/Plant	53026	LC/MS Neg	100006651
"3,5-dichloro-2,6-dihydroxybenzoic acid"	Xenobiotics	Chemical	63589	LC/MS Neg	100021324
"3,7-dimethylurate"	Xenobiotics	Xanthine Metabolism	34399	LC/MS Neg	100001398
3-(3-amino-3-carboxypropyl)uridine*	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	62924	LC/MS Neg	100001426
3-(3-hydroxyphenyl)propionate	Xenobiotics	Benzoate Metabolism	35635	LC/MS Neg	100001624
3-(3-hydroxyphenyl)propionate sulfate	Xenobiotics	Benzoate Metabolism	45415	LC/MS Neg	100005391
3-(4-hydroxyphenyl)lactate (HPLA)	Amino Acid	Tyrosine Metabolism	32197	LC/MS Neg	240
3-(4-hydroxyphenyl)propionate	Xenobiotics	Benzoate Metabolism	39587	LC/MS Neg	100002914
3-(cystein-S-yl)acetaminophen*	Xenobiotics	"Drug - Analgesics, Anesthetics"	34365	LC/MS Pos Early	100001797
3-(methylthio)acetaminophen sulfate*	Xenobiotics	"Drug - Analgesics, Anesthetics"	62567	LC/MS Neg	100020827
3-(N-acetyl-L-cystein-S-yl) acetaminophen	Xenobiotics	"Drug - Analgesics, Anesthetics"	45721	LC/MS Neg	2048
3-acetylphenol sulfate	Xenobiotics	Chemical	48693	LC/MS Neg	100004326
3-amino-2-piperidone	Amino Acid	Urea cycle; Arginine and Proline Metabolism	62853	LC/MS Pos Early	100020361
3-aminoisobutyrate	Nucleotide	"Pyrimidine Metabolism, Thymine containing"	1566	LC/MS Pos Early	1114
"3-bromo-5-chloro-2,6-dihydroxybenzoic acid*"	Xenobiotics	Chemical	63681	LC/MS Neg	100021707
3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)	Lipid	"Fatty Acid, Dicarboxylate"	61871	LC/MS Neg	100020004
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	Lipid	"Fatty Acid, Dicarboxylate"	31787	LC/MS Neg	100001178
3-decenoylcarnitine	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"	63361	LC/MS Pos Late	100021136
3-ethylcatechol sulfate (1)	Xenobiotics	Food Component/Plant	62796	LC/MS Neg	100020851
3-ethylcatechol sulfate (2)	Xenobiotics	Food Component/Plant	62797	LC/MS Neg	100020852
3-formylindole	Xenobiotics	Food Component/Plant	62863	LC/MS Pos Early	100020219
3-hydroxy-2-ethylpropionate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	32397	LC/MS Neg	100001170
3-hydroxy-2-methylpyridine sulfate	Xenobiotics	Chemical	63227	LC/MS Neg	100020975
3-hydroxy-3-methylglutarate	Lipid	Mevalonate Metabolism	531	LC/MS Polar	112
3-hydroxyadipate*	Lipid	"Fatty Acid, Dicarboxylate"	62069	LC/MS Polar	100004396
3-hydroxybutyrate (BHBA)	Lipid	Ketone Bodies	542	LC/MS Polar	254
3-hydroxydecanoate	Lipid	"Fatty Acid, Monohydroxy"	22053	LC/MS Neg	100000997
3-hydroxydecanoylcarnitine	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)"	63358	LC/MS Pos Late	100021141
3-hydroxyhexanoate	Lipid	"Fatty Acid, Monohydroxy"	53230	LC/MS Neg	100006367
3-hydroxyhippurate	Xenobiotics	Benzoate Metabolism	39600	LC/MS Neg	100002122
3-hydroxyhippurate sulfate	Xenobiotics	Benzoate Metabolism	62530	LC/MS Neg	100020410
3-hydroxyindolin-2-one sulfate	Xenobiotics	Food Component/Plant	48419	LC/MS Neg	100006103
3-hydroxyisobutyrate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	1549	LC/MS Polar	111
3-hydroxylaurate	Lipid	"Fatty Acid, Monohydroxy"	32457	LC/MS Neg	100001112
3-hydroxymyristate	Lipid	"Fatty Acid, Monohydroxy"	21158	LC/MS Neg	100000882
3-hydroxyoctanoate	Lipid	"Fatty Acid, Monohydroxy"	22001	LC/MS Neg	100000773
3-hydroxyoleate*	Lipid	"Fatty Acid, Monohydroxy"	61843	LC/MS Neg	100019966
3-hydroxyoleoylcarnitine	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)"	61840	LC/MS Pos Late	100019801
3-hydroxyphenylacetoylglutamine	Peptide	Acetylated Peptides	62733	LC/MS Neg	100019831
3-hydroxypyridine glucuronide	Xenobiotics	Chemical	63236	LC/MS Neg	100020591
3-hydroxypyridine sulfate	Xenobiotics	Chemical	48448	LC/MS Neg	100006098
3-hydroxysebacate	Lipid	"Fatty Acid, Monohydroxy"	31943	LC/MS Polar	100001145
3-hydroxystearate	Lipid	"Fatty Acid, Monohydroxy"	52938	LC/MS Neg	100008933
3-indoleglyoxylic acid	Xenobiotics	Food Component/Plant	63583	LC/MS Neg	100020372
3-indoxyl sulfate	Amino Acid	Tryptophan Metabolism	27672	LC/MS Neg	100000467
3-methoxycatechol sulfate (1)	Xenobiotics	Benzoate Metabolism	48763	LC/MS Neg	100006375
3-methoxycatechol sulfate (2)	Xenobiotics	Benzoate Metabolism	48752	LC/MS Neg	100006376
3-methoxytyramine sulfate	Amino Acid	Tyrosine Metabolism	44618	LC/MS Neg	100004634
3-methoxytyrosine	Amino Acid	Tyrosine Metabolism	12017	LC/MS Pos Early	1342
3-methyl catechol sulfate (1)	Xenobiotics	Benzoate Metabolism	46165	LC/MS Neg	100004112
3-methyl catechol sulfate (2)	Xenobiotics	Benzoate Metabolism	46164	LC/MS Neg	100004110
3-methyl-2-oxobutyrate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	44526	LC/MS Neg	100000936
3-methyl-2-oxovalerate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	15676	LC/MS Neg	100000036
3-methylcytidine	Nucleotide	"Pyrimidine Metabolism, Cytidine containing"	35132	LC/MS Pos Early	100001466
3-methylglutaconate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	57747	LC/MS Polar	100002458
3-methylglutarate/2-methylglutarate	Lipid	"Fatty Acid, Dicarboxylate"	54676	LC/MS Polar	100010834
3-methylglutarylcarnitine (2)	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	46548	LC/MS Pos Early	100005850
3-methylhistidine	Amino Acid	Histidine Metabolism	15677	LC/MS Neg	100000042
3-methylxanthine	Xenobiotics	Xanthine Metabolism	32445	LC/MS Neg	100001108
3-phenylpropionate (hydrocinnamate)	Xenobiotics	Benzoate Metabolism	15749	LC/MS Neg	100000010
3-phosphoglycerate	Carbohydrate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	1414	LC/MS Pos Early	132
3-ureidopropionate	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	3155	LC/MS Polar	1053
3b-hydroxy-5-cholenoic acid	Lipid	Secondary Bile Acid Metabolism	43507	LC/MS Neg	100004182
"3beta,7alpha-dihydroxy-5-cholestenoate"	Lipid	Sterol	36803	LC/MS Neg	100001611
3beta-hydroxy-5-cholestenoate	Lipid	Sterol	54805	LC/MS Neg	100006370
4-acetamidobutanoate	Amino Acid	Polyamine Metabolism	1558	LC/MS Pos Early	1113
4-acetamidophenol	Xenobiotics	"Drug - Analgesics, Anesthetics"	12032	LC/MS Neg	1383
4-acetamidophenylglucuronide	Xenobiotics	"Drug - Analgesics, Anesthetics"	15736	LC/MS Neg	100000043
4-acetaminophen sulfate	Xenobiotics	"Drug - Analgesics, Anesthetics"	37475	LC/MS Neg	2049
4-acetylcatechol sulfate (1)	Xenobiotics	Food Component/Plant	62798	LC/MS Neg	100020853
4-acetylphenyl sulfate	Xenobiotics	Benzoate Metabolism	44620	LC/MS Neg	100000711
4-allylcatechol sulfate	Xenobiotics	Benzoate Metabolism	63597	LC/MS Neg	100020578
4-allylphenol sulfate	Xenobiotics	Food Component/Plant	37181	LC/MS Neg	100001868
4-cholesten-3-one	Lipid	Sterol	38125	LC/MS Pos Late	100002227
4-ethylcatechol sulfate	Xenobiotics	Benzoate Metabolism	63072	LC/MS Neg	100020536
4-ethylphenyl sulfate	Xenobiotics	Benzoate Metabolism	36099	LC/MS Neg	100001756
4-guanidinobutanoate	Amino Acid	Guanidino and Acetamido Metabolism	15681	LC/MS Pos Early	100000096
4-hydroxy duloxetine glucuronide*	Xenobiotics	Drug - Psychoactive	62480	LC/MS Neg	100020796
4-hydroxy-2-oxoglutaric acid	Lipid	"Fatty Acid, Dicarboxylate"	40062	LC/MS Polar	100002537
4-hydroxychlorothalonil	Xenobiotics	Chemical	48441	LC/MS Neg	100006082
4-hydroxycoumarin	Xenobiotics	Drug - Cardiovascular	37445	LC/MS Neg	100002049
4-hydroxyglutamate	Amino Acid	Glutamate Metabolism	40499	LC/MS Pos Early	100002544
4-hydroxyhippurate	Xenobiotics	Benzoate Metabolism	35527	LC/MS Neg	100001423
4-hydroxyphenylacetate	Amino Acid	Phenylalanine Metabolism	541	LC/MS Neg	144
4-hydroxyphenylacetatoylcarnitine	Amino Acid	Tyrosine Metabolism	52932	LC/MS Pos Early	100006619
4-hydroxyphenylacetylglutamine	Peptide	Acetylated Peptides	55017	LC/MS Neg	100010850
4-hydroxyphenylpyruvate	Amino Acid	Tyrosine Metabolism	1669	LC/MS Neg	1141
4-imidazoleacetate	Amino Acid	Histidine Metabolism	32349	LC/MS Polar	100001207
4-methoxyphenol sulfate	Amino Acid	Tyrosine Metabolism	48457	LC/MS Neg	100006262
4-methyl-2-oxopentanoate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	22116	LC/MS Neg	100000551
4-methylcatechol sulfate	Xenobiotics	Benzoate Metabolism	46146	LC/MS Neg	100004111
4-methylguaiacol sulfate	Xenobiotics	Benzoate Metabolism	48418	LC/MS Neg	100006105
4-methylhexanoylglutamine	Lipid	Fatty Acid Metabolism (Acyl Glutamine)	62735	LC/MS Neg	100020631
4-vinylguaiacol sulfate	Xenobiotics	Food Component/Plant	48442	LC/MS Neg	100006126
4-vinylphenol sulfate	Xenobiotics	Benzoate Metabolism	36098	LC/MS Neg	100001755
"5,6-dihydrothymine"	Nucleotide	"Pyrimidine Metabolism, Thymine containing"	1418	LC/MS Neg	158
"5,6-dihydrouracil"	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	1559	LC/MS Neg	1125
"5,6-dihydrouridine"	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	61833	LC/MS Neg	100001425
5-(galactosylhydroxy)-L-lysine	Amino Acid	Lysine Metabolism	43582	LC/MS Pos Early	100002462
5-acetylamino-6-amino-3-methyluracil	Xenobiotics	Xanthine Metabolism	34424	LC/MS Polar	100001403
5-acetylamino-6-formylamino-3-methyluracil	Xenobiotics	Xanthine Metabolism	34401	LC/MS Polar	100001402
5-dodecenoate (12:1n7)	Lipid	Medium Chain Fatty Acid	33968	LC/MS Neg	100001232
5-dodecenoylcarnitine (C12:1)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"	61769	LC/MS Pos Late	100016069
5-hydroxy-2-methylpyridine sulfate	Xenobiotics	Chemical	63230	LC/MS Neg	100020973
5-hydroxy-6-methoxy duloxetine sulfate*	Xenobiotics	Drug - Psychoactive	62481	LC/MS Neg	100020798
5-hydroxyhexanoate	Lipid	"Fatty Acid, Monohydroxy"	31938	LC/MS Neg	100001148
5-hydroxyindole sulfate	Amino Acid	Tryptophan Metabolism	52914	LC/MS Neg	100009042
5-hydroxyindoleacetate	Amino Acid	Tryptophan Metabolism	437	LC/MS Neg	71
5-hydroxylysine	Amino Acid	Lysine Metabolism	15685	LC/MS Pos Early	100000054
5-hydroxymethyl-2-furoylcarnitine*	Xenobiotics	Food Component/Plant	62871	LC/MS Pos Early	100021012
5-methylthioadenosine (MTA)	Amino Acid	Polyamine Metabolism	1419	LC/MS Pos Early	212
5-methylthioribose	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	62100	LC/MS Pos Early	100002103
5-methyluridine (ribothymidine)	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	35136	LC/MS Neg	100001446
5-oxoproline	Amino Acid	Glutathione Metabolism	1494	LC/MS Neg	1021
"5alpha-androstan-3alpha,17beta-diol monosulfate (1)"	Lipid	Androgenic Steroids	37186	LC/MS Neg	100002018
"5alpha-androstan-3alpha,17beta-diol monosulfate (2)"	Lipid	Androgenic Steroids	37185	LC/MS Neg	100006005
"5alpha-androstan-3beta,17alpha-diol disulfate"	Lipid	Androgenic Steroids	37187	LC/MS Neg	100002021
"5alpha-androstan-3beta,17beta-diol disulfate"	Lipid	Androgenic Steroids	37190	LC/MS Neg	100001987
"5alpha-androstan-3beta,17beta-diol monosulfate (2)"	Lipid	Androgenic Steroids	37192	LC/MS Neg	100002024
"5alpha-pregnan-3beta,20alpha-diol disulfate"	Lipid	Progestin Steroids	37198	LC/MS Neg	100001988
"5alpha-pregnan-3beta,20alpha-diol monosulfate (2)"	Lipid	Progestin Steroids	37200	LC/MS Neg	100002014
"5alpha-pregnan-3beta,20beta-diol monosulfate (1)"	Lipid	Progestin Steroids	37196	LC/MS Neg	100002009
6-bromotryptophan	Amino Acid	Tryptophan Metabolism	62503	LC/MS Neg	100020414
6-hydroxyindole sulfate	Xenobiotics	Chemical	48698	LC/MS Neg	100006260
6-hydroxywarfarin	Xenobiotics	Drug - Cardiovascular	62973	LC/MS Neg	100020814
6-oxopiperidine-2-carboxylate	Amino Acid	Lysine Metabolism	43231	LC/MS Neg	100004499
7-HOCA	Lipid	Sterol	36776	LC/MS Neg	100001609
7-hydroxywarfarin	Xenobiotics	Drug - Cardiovascular	62972	LC/MS Neg	100020813
7-methylguanine	Nucleotide	"Purine Metabolism, Guanine containing"	35114	LC/MS Pos Early	100001456
7-methylurate	Xenobiotics	Xanthine Metabolism	39598	LC/MS Neg	100002241
7-methylxanthine	Xenobiotics	Xanthine Metabolism	34390	LC/MS Neg	100001396
8-methoxykynurenate	Amino Acid	Tryptophan Metabolism	62955	LC/MS Neg	100020360
"9,10-DiHOME"	Lipid	"Fatty Acid, Dihydroxy"	38399	LC/MS Neg	179
9-hydroxystearate	Lipid	"Fatty Acid, Monohydroxy"	47120	LC/MS Neg	100005834
acesulfame	Xenobiotics	Food Component/Plant	48569	LC/MS Neg	100006203
acetylcarnitine (C2)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Short Chain)"	32198	LC/MS Pos Early	100000802
acisoga	Amino Acid	Polyamine Metabolism	43258	LC/MS Neg	100004541
aconitate [cis or trans]	Energy	TCA Cycle	46173	LC/MS Neg	100001359
adenine	Nucleotide	"Purine Metabolism, Adenine containing"	554	LC/MS Neg	880
adenosine	Nucleotide	"Purine Metabolism, Adenine containing"	555	LC/MS Neg	798
"adenosine 3',5'-cyclic monophosphate (cAMP)"	Nucleotide	"Purine Metabolism, Adenine containing"	2831	LC/MS Neg	207
ADP	Nucleotide	"Purine Metabolism, Adenine containing"	3108	LC/MS Neg	208
adenosine 5'-diphosphoribose (ADP-ribose)	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	558	LC/MS Neg	215
AMP	Nucleotide	"Purine Metabolism, Adenine containing"	32342	LC/MS Neg	209
adipate	Lipid	"Fatty Acid, Dicarboxylate"	21134	LC/MS Polar	100000863
adipoylcarnitine (C6-DC)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)"	52988	LC/MS Pos Early	100006614
adrenate (22:4n6)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	32980	LC/MS Neg	100001193
adrenoylcarnitine (C22:4)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)"	57528	LC/MS Pos Late	100015850
alanine	Amino Acid	Alanine and Aspartate Metabolism	1126	LC/MS Pos Early	811
allantoin	Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	1107	LC/MS Polar	1002
alliin	Xenobiotics	Food Component/Plant	41494	LC/MS Pos Early	100003473
allopurinol	Xenobiotics	Drug - Metabolic	43534	LC/MS Neg	100004518
allopurinol riboside	Xenobiotics	Drug - Metabolic	38321	LC/MS Neg	100002454
alpha-CEHC sulfate	Cofactors and Vitamins	Tocopherol Metabolism	47666	LC/MS Neg	100005972
alpha-hydroxycaproate	Lipid	"Fatty Acid, Monohydroxy"	37073	LC/MS Neg	100001723
alpha-hydroxyisocaproate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	22132	LC/MS Neg	100000706
alpha-hydroxyisovalerate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	46537	LC/MS Polar	100001300
alpha-hydroxymetoprolol	Xenobiotics	Drug - Cardiovascular	54738	LC/MS Pos Early	100006385
alpha-ketobutyrate	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	4968	LC/MS Polar	796
alpha-ketoglutaramate*	Amino Acid	Glutamate Metabolism	62101	LC/MS Polar	100002397
alpha-ketoglutarate	Energy	TCA Cycle	528	LC/MS Polar	93
